1,2,3,4,5,6,7,8,9,10
,,potato,onion,,,,green chillies,,ginger
,carrot,potato,onion,corriander,cabbage,cauli flower,green chillies,garlic,
capsicum,,potato,onion,,cabbage,cauli flower,,,ginger
capsicum,carrot,potato,onion,corriander,,,green chillies,garlic,ginger
capsicum,carrot,potato,onion,,cabbage,cauli flower,,,ginger
capsicum,carrot,potato,onion,corriander,cabbage,,,,ginger
capsicum,carrot,potato,onion,,cabbage,,green chillies,garlic,ginger
,carrot,potato,onion,corriander,cabbage,cauli flower,green chillies,garlic,
capsicum,,,onion,corriander,,cauli flower,,,ginger
capsicum,carrot,potato,onion,corriander,cabbage,,green chillies,garlic,ginger
capsicum,carrot,,onion,,,,,garlic,ginger
capsicum,,potato,onion,,cabbage,cauli flower,green chillies,garlic,
capsicum,carrot,potato,onion,corriander,,,,garlic,ginger
capsicum,,,onion,corriander,cabbage,cauli flower,green chillies,,ginger
,,potato,onion,corriander,,cauli flower,green chillies,garlic,ginger
capsicum,carrot,potato,onion,,cabbage,cauli flower,,garlic,ginger
capsicum,carrot,potato,onion,corriander,,,,garlic,ginger
capsicum,carrot,potato,onion,corriander,cabbage,cauli flower,green chillies,garlic,ginger
,carrot,,onion,,cabbage,,,,ginger
capsicum,carrot,potato,onion,corriander,,cauli flower,green chillies,,
capsicum,carrot,potato,,corriander,cabbage,cauli flower,,,ginger
capsicum,,,onion,,cabbage,,,,
,carrot,potato,,corriander,,cauli flower,green chillies,,ginger
capsicum,carrot,potato,onion,,cabbage,,,,
capsicum,,,onion,corriander,cabbage,cauli flower,green chillies,garlic,ginger
,carrot,potato,,corriander,,cauli flower,green chillies,,ginger
,,,onion,,cabbage,cauli flower,green chillies,,
capsicum,carrot,potato,onion,corriander,cabbage,cauli flower,green chillies,garlic,ginger
capsicum,carrot,potato,,corriander,,,green chillies,garlic,
,carrot,potato,,corriander,,,green chillies,,
